סמל ועדה,שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,אצ,ב,ג,ד,ום,ז,זך,זנ,זץ,ט,י,יז,ינ,יץ,יק,כן,ך,ל,מחל,מרצ,נז,ני,נף,נץ,נק,נר,עם,פה,ף,צ,ץ,ק,קי,קך,קנ,קץ,רז,שס,ת
17,זוהר,44,253,186,0,186,0,0,0,4,0,0,1,0,0,0,21,0,0,0,0,0,20,0,4,97,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,30,0
17,כרמי קטיף,1374,336,281,1,280,0,1,17,0,0,0,0,0,0,0,237,0,0,0,0,0,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
18,לוטן,1255,179,96,0,96,21,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,4,5,24,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,2,0,0,0
17,מחנה מרים,1414,83,48,0,48,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,13,0,0,11,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
18,מלילות,2044,296,244,1,243,2,0,0,4,0,0,0,0,0,0,42,0,1,0,0,0,5,0,0,153,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,29,1
18,מעון,3657,305,228,0,228,0,0,9,2,0,0,0,0,0,0,205,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
17,נועם,15,316,247,3,244,1,0,0,5,0,0,0,0,0,0,51,1,1,0,0,0,4,0,2,123,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,51,0
18,סמר,1156,239,126,0,126,13,1,0,0,1,2,0,0,0,0,1,0,1,0,0,0,6,0,0,2,55,0,1,0,0,0,0,0,35,0,1,0,0,0,0,0,7,0,0,0
18,שחרות,1266,151,79,0,79,13,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,8,0,4,5,13,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,4,0,0,0
18,שיבולים,865,282,216,0,216,0,0,7,4,0,0,0,0,0,0,62,0,1,0,0,0,12,0,3,110,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,13,0
9,שער מנשה,921,132,21,1,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,4,0
18,שרשרת,398,280,211,0,211,0,0,1,5,0,0,0,0,0,0,49,0,0,0,0,0,8,0,0,104,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,41,0
17,איבים,338,188,65,0,65,1,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,17,0,0,29,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0
18,אליפז,1248,121,81,1,80,8,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,4,7,11,0,0,0,0,0,0,0,33,0,1,0,0,0,0,1,0,0,0,0
18,אשל הנשיא,2021,111,64,0,64,1,2,1,1,0,0,0,0,0,0,10,0,1,0,0,0,9,0,3,20,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0
18,גרופית,1129,292,166,0,166,29,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,15,0,4,22,13,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,1,0,0,0
18,מחנה יוכבד,1416,108,57,0,57,2,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,11,0,1,17,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,1,0
18,נאות סמדר,1197,268,155,0,155,33,0,0,0,0,2,0,0,0,0,2,0,3,0,0,0,16,0,3,9,37,0,0,0,0,1,0,1,43,1,0,0,1,0,0,0,2,0,1,0
18,פדויים,750,347,257,1,256,4,2,3,6,0,0,0,0,0,0,63,0,4,0,0,0,23,0,1,107,2,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,1,0,26,0
18,שבי דרום,1377,170,152,2,150,0,1,1,6,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0
18,שוקדה,415,302,255,0,255,1,1,15,1,0,0,0,0,0,0,112,0,0,0,0,0,3,0,0,82,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,37,0
20,אבטליון,1275,323,244,0,244,32,2,5,0,0,5,0,0,0,0,5,0,4,0,0,0,25,0,5,24,24,0,0,0,0,0,0,1,105,0,0,0,0,0,0,0,7,0,0,0
5,ברק,141,297,220,1,219,8,1,4,0,0,0,0,0,0,0,33,0,0,0,0,0,41,0,1,80,1,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,1,0,10,0
5,גדיש,145,283,210,1,209,3,0,0,2,0,0,0,0,0,0,25,0,0,0,0,0,3,0,1,155,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,18,0
5,גדעונה,442,320,231,1,230,6,1,3,27,0,0,0,0,0,0,39,0,1,0,0,0,13,0,1,98,3,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,7,0
5,כפר גדעון,106,211,150,0,150,1,0,3,42,0,0,0,0,0,0,32,0,0,0,0,0,6,0,0,21,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,37,0
8,כפר גלים,427,116,68,1,67,2,0,3,1,0,0,0,0,0,0,4,0,1,0,0,0,15,0,10,21,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
8,כפר חסידים ב,889,226,158,1,157,3,0,19,2,0,0,0,0,0,0,29,0,0,0,0,0,16,0,7,42,1,0,0,0,0,1,0,0,25,0,0,0,0,0,0,0,1,0,11,0
18,כרמל,3656,288,215,0,215,0,0,7,1,0,0,0,0,0,0,185,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
5,מחנה יהודית,1413,136,97,0,97,5,1,3,0,0,0,0,0,0,0,7,0,0,0,0,0,20,0,1,27,4,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0
5,מלאה,164,277,215,0,215,3,0,1,0,0,0,0,0,0,0,45,0,0,0,0,0,18,0,0,111,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,27,1
4,מצפה,58,113,85,0,85,7,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,13,0,1,22,3,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,1,0
5,נורית,833,148,115,0,115,3,1,1,0,0,2,0,0,0,0,14,0,1,0,0,0,14,0,3,26,6,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,1,0,3,0
18,עלומים,1146,347,249,3,246,3,0,71,1,0,0,0,0,0,0,56,0,0,0,0,0,37,0,0,52,1,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,4,0
5,פרזון,2053,333,243,2,241,4,0,7,5,0,0,0,0,0,0,43,0,0,0,0,0,21,0,2,125,2,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,19,0
18,תאשור,2062,309,223,0,223,11,1,0,1,0,2,0,0,0,0,30,0,3,0,0,0,36,0,0,63,9,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,3,0,5,0
5,אדירים,113,235,177,1,176,1,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,5,0,0,68,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,68,0
5,בית זיד,353,108,69,1,68,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,7,0,0,0,0,0,0,0,29,0,1,0,0,0,0,0,0,1,1,0
4,גשור,4022,239,153,0,153,10,2,4,0,0,0,1,0,0,0,11,0,1,0,0,0,19,0,7,19,18,0,0,0,0,0,0,0,57,0,1,0,0,0,0,0,2,0,0,1
5,דבורה,146,226,139,0,139,9,2,0,0,0,0,0,0,0,0,8,0,1,0,0,0,46,0,1,30,3,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,3,0
4,האון,702,157,84,0,84,27,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,1,11,3,0,0,0,0,0,0,1,29,0,0,0,0,0,0,0,0,0,2,0
19,ירקונה,183,309,224,0,224,23,0,2,0,0,1,0,0,0,0,4,0,0,0,0,0,39,0,1,23,22,0,0,0,0,0,0,0,104,0,0,0,1,0,0,0,1,0,3,0
6,כישור,1153,131,97,2,95,12,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,11,0,2,5,12,0,0,0,0,0,0,4,43,0,0,0,1,0,0,1,0,0,0,0
8,כפר המכבי,254,323,235,0,235,28,2,1,0,0,0,0,0,0,0,6,0,1,0,0,0,36,0,5,13,11,0,0,0,0,0,0,0,130,0,1,0,0,0,0,0,1,0,0,0
19,כפר מלל,98,273,210,0,210,30,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,32,0,3,34,18,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,1,0,0,0
17,כפר סילבר,107,85,28,0,28,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,3,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0
6,לפידות,1173,118,92,0,92,1,0,0,1,0,0,2,0,0,0,12,1,0,0,0,0,12,0,0,47,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0
4,מסדה,263,290,178,0,178,29,1,1,0,1,2,0,0,0,0,8,0,0,0,0,0,53,0,4,9,11,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,6,0,2,0
16,מקווה ישראל,22,157,111,0,111,7,0,1,0,0,0,0,0,0,0,19,0,2,0,0,0,8,0,5,23,9,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,1,0
6,מתת,1184,178,103,0,103,19,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,13,0,1,11,21,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2,0,1,0
19,עדנים,2035,293,220,0,220,15,3,2,0,0,1,0,0,0,0,10,0,0,0,0,0,39,0,4,26,12,0,0,0,0,0,0,1,99,0,0,0,0,1,0,0,2,0,0,5
17,עוזה,826,342,267,1,266,1,0,3,11,0,0,0,0,0,0,43,0,0,0,0,0,2,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,89,0
19,צור נתן,1148,228,157,0,157,8,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,30,0,0,40,2,0,0,0,0,0,0,0,62,0,1,0,1,0,0,0,0,0,2,0
17,שקף,1233,323,255,0,255,44,6,4,0,0,0,0,0,0,0,24,1,0,0,0,0,67,0,2,22,15,0,0,0,0,0,0,0,69,0,1,0,0,0,0,0,0,0,0,0
6,אבירים,1220,235,152,2,150,29,1,0,0,0,3,0,0,0,0,3,0,1,0,0,0,12,0,4,6,38,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,9,0,0,0
2,אדורה,3759,264,208,1,207,1,0,11,1,0,0,0,0,0,0,109,0,0,0,0,0,18,0,4,43,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0
5,אחוזת ברק,1330,1852,1353,4,1349,41,18,9,1,0,0,0,0,0,0,121,1,6,0,0,1,188,0,52,469,19,0,0,0,1,1,0,0,385,1,5,0,1,0,0,1,3,0,25,0
4,אלומות,330,333,228,1,227,36,1,3,0,0,0,0,0,0,0,7,0,2,0,0,0,37,0,3,45,19,0,0,0,0,0,0,0,72,0,1,0,0,0,0,0,0,0,1,0
4,אלמגור,1125,300,220,0,220,34,0,1,0,1,1,0,0,0,0,5,1,1,0,0,0,33,0,4,6,24,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,4,0,0,0
6,אלקוש,603,256,170,0,170,2,0,0,0,0,0,0,0,0,0,45,0,1,0,0,0,8,0,0,76,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,26,0
17,אמציה,23,149,104,0,104,1,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,24,0,2,25,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0
4,אפיק,4301,270,192,2,190,27,1,0,1,0,0,0,0,0,0,16,0,0,0,0,0,31,0,7,17,12,0,0,1,0,0,0,0,69,0,1,0,0,0,0,0,2,2,3,0
10,ארסוף,1324,147,80,0,80,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,2,10,10,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,1,0
17,בית גוברין,619,302,227,0,227,43,1,2,0,0,2,0,0,0,0,6,0,2,0,0,0,32,0,3,6,19,0,0,0,0,0,0,0,109,0,2,0,0,0,0,0,0,0,0,0
13,בית עובד,202,255,186,1,185,28,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,23,0,3,13,20,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,2,0,0,0
13,בית רבן,848,299,212,1,211,0,0,4,3,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0
16,בת ים,6200,110511,56131,486,55645,1037,150,273,560,68,77,1,10,3,3,5970,12,232,5,4,5,4598,33,6233,19816,578,11,36,3,10,19,6,38,9898,18,131,4,24,9,28,27,177,23,5477,38
2,גיזו,1043,150,119,0,119,11,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,12,0,3,46,11,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,2,0,3,0
5,גיניגר,92,555,365,4,361,83,0,2,1,1,1,0,0,0,0,7,0,3,0,0,0,61,0,15,25,47,0,0,0,0,0,0,1,114,0,0,0,0,0,0,0,0,0,0,0
13,גן שורק,311,266,197,1,196,11,2,3,0,0,1,0,0,0,0,9,0,1,0,0,0,46,0,4,39,4,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,1,0
12,גני הדר,1103,286,226,0,226,32,1,2,0,0,0,0,0,0,0,5,0,1,0,0,0,46,0,7,28,21,0,0,0,0,0,0,0,82,0,1,0,0,0,0,0,0,0,0,0
19,גני עם,218,210,171,1,170,18,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,29,0,4,22,20,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,1,0,0,0
2,גפן,39,270,223,0,223,2,1,3,6,0,0,0,0,0,0,45,0,1,0,0,0,3,0,2,106,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,46,0
11,גת רימון,128,192,142,0,142,9,0,1,1,0,0,0,0,0,0,7,0,2,0,0,0,26,0,2,28,7,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,3,0,1,0
5,דחי,475,546,218,1,217,2,0,0,0,66,74,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,68,3,0,0,0,0,0,0,0,0,0,0,0
2,חברון,3400,338,215,0,215,0,0,7,2,0,0,0,0,0,0,190,0,0,0,0,0,1,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
19,חורשים,355,307,208,0,208,26,0,1,0,1,1,0,0,0,0,16,0,1,0,0,0,27,0,4,28,38,0,0,0,0,0,0,2,60,0,0,0,0,0,0,0,3,0,0,0
7,חיפה,4000,252671,140272,884,139388,6653,486,1244,5017,3912,7974,10,4,2,10,8776,44,403,15,10,10,14166,52,11340,29228,6415,25,60,17,32,31,12,1147,36760,62,180,38,58,13,48,38,604,56,4387,49
13,חפץ חיים,363,370,308,1,307,0,0,28,16,0,0,0,0,0,0,181,0,0,0,0,0,7,0,3,67,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0
6,חרשים,1209,249,187,0,187,34,2,0,0,0,3,0,0,0,0,1,0,1,0,0,0,8,0,6,3,73,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,5,0,3,0
4,טפחות,1214,259,201,0,201,0,0,1,1,0,0,0,0,0,0,115,0,0,0,0,0,3,0,2,59,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,17,0
13,יסודות,440,352,320,0,320,0,0,0,277,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,0
3,כדיתה,1338,138,67,0,67,4,1,1,5,0,0,0,0,0,0,23,0,0,0,0,0,5,0,0,13,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,5,0,2,0
4,כלנית,1229,187,152,0,152,0,6,0,3,0,0,0,0,0,0,52,0,0,0,0,0,2,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
2,כסלון,859,303,225,1,224,6,0,1,2,0,0,0,0,0,0,37,0,0,0,0,1,11,0,3,89,9,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2,0,50,1
9,כפר גליקסון,310,291,207,0,207,33,1,1,2,0,3,0,0,0,0,4,0,1,0,0,0,32,0,1,9,32,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0
13,כרם יבנה ישיבה,1094,138,117,0,117,0,0,1,10,0,0,0,0,0,0,102,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,מחנה הילה,1411,133,106,0,106,7,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,29,0,3,8,5,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0
13,מחנה תל נוף,1412,158,111,0,111,7,1,2,0,0,0,0,0,0,0,6,0,0,0,0,0,33,0,0,26,2,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,1,0
2,מחסיה,776,311,255,1,254,1,0,2,10,0,0,0,0,0,0,56,0,0,0,0,0,22,0,3,101,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,53,0
4,מיצר,4019,138,104,1,103,15,1,4,0,0,1,0,0,0,0,5,0,1,0,0,0,12,0,5,7,7,0,0,0,0,0,0,0,41,0,0,0,0,1,0,0,3,0,0,0
4,מעגן,678,328,214,3,211,19,0,3,0,0,0,1,0,0,0,9,0,0,0,0,0,57,0,4,31,8,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,2,0,4,0
2,נווה שלום,1259,253,186,1,185,15,0,0,0,58,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0
6,נטועה,1147,257,193,0,193,1,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,28,0,0,91,0,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,1,0,23,0
4,נטור,4014,312,228,0,228,8,0,20,1,0,0,0,0,0,0,77,0,0,0,0,0,38,0,2,30,13,0,0,0,0,0,0,0,34,0,0,0,1,0,0,0,2,0,2,0
13,נצר חזני,1372,295,254,0,254,0,0,16,10,0,0,0,0,0,0,154,0,0,0,0,0,5,0,1,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,0
18,נתיבות,246,26038,19593,85,19508,50,22,130,1084,5,4,0,0,0,0,3105,1,25,0,0,1,349,3,584,5484,28,1,4,0,1,4,0,2,370,3,19,1,3,0,2,0,18,4,8196,5
2,עגור,794,327,247,2,245,4,0,0,8,0,0,0,0,0,0,49,0,0,0,0,0,6,0,1,126,7,0,0,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,34,0
2,עטרת,3658,327,264,0,264,0,0,17,1,0,0,0,0,0,0,216,0,0,1,0,0,2,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
13,עיינות,156,146,46,0,46,6,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,13,0,0,8,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0
4,פוריה  כפר עבודה,1104,287,193,1,192,0,1,3,3,0,0,0,0,0,0,38,0,3,0,0,1,12,0,0,103,1,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,6,0,8,0
6,פלך,1185,115,98,1,97,49,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,5,1,29,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0
2,פני חבר,3723,267,211,0,211,1,1,1,0,0,0,0,0,0,0,178,0,0,0,0,0,2,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0
20,צביה,1180,270,190,2,188,23,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,23,0,7,10,23,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,11,0,2,0
6,צוריאל,774,330,224,0,224,6,0,3,0,0,0,0,0,0,0,52,0,0,0,0,0,26,0,1,111,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,16,0
2,צפרירים,1079,332,226,0,226,14,1,1,0,0,2,0,0,0,0,32,0,1,0,0,0,17,0,7,58,19,0,0,0,0,0,0,0,45,0,1,0,0,0,0,0,4,0,24,0
17,קרית גת,2630,43151,29607,241,29366,279,72,207,2360,5,6,1,2,0,2,3985,2,124,3,0,0,1894,5,2338,10684,116,1,14,4,9,9,5,10,2490,9,64,3,20,8,11,12,45,30,4525,12
2,קרית ענבים,78,333,206,0,206,35,1,1,0,0,3,0,0,0,0,3,0,1,0,0,0,30,0,3,22,24,0,0,0,0,0,0,2,78,0,0,0,0,0,0,0,1,0,2,0
13,ראשון לציון,8300,199003,131984,653,131331,3750,484,986,857,35,76,5,2,2,5,12704,31,583,5,0,8,18199,14,8258,42528,2071,12,48,7,22,29,6,45,33135,41,279,11,45,4,39,29,441,44,6437,54
18,תושיה,1083,362,273,0,273,0,0,9,1,0,0,0,0,0,0,178,0,0,0,0,0,3,0,0,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
2,תירוש,10,336,268,0,268,0,0,3,9,0,0,0,0,0,0,37,0,0,0,0,0,5,0,0,108,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,103,0
2,תלם,3719,230,181,1,180,0,2,6,5,0,0,0,0,0,0,136,0,0,0,0,0,4,0,3,13,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0
18,אופקים,31,22676,15576,111,15465,109,21,84,2263,9,4,0,1,1,1,2487,0,34,0,0,0,499,0,584,5008,57,0,2,1,1,4,0,19,675,4,27,1,3,0,3,1,5,2,3552,3
3,אור הגנוז,1294,323,215,1,214,1,1,0,95,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,51,0
5,אכסאל,478,10342,5257,45,5212,3,4,0,14,989,2710,3,0,0,0,5,0,5,0,0,0,5,1,2,41,42,0,1,1,0,0,0,1339,29,0,3,6,0,1,2,1,2,0,2,1
3,אלוני הבשן,4017,237,162,0,162,1,0,29,1,0,0,0,0,0,0,71,0,1,0,0,0,10,0,1,40,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,0,1,0
17,אשדוד,70,164198,105114,697,104417,926,219,451,14857,25,20,5,3,3,6,9224,16,315,6,1,3,6733,8,10881,29725,484,12,28,6,24,21,10,27,13295,24,241,8,40,11,14,37,178,51,16441,38
17,אשקלון,7100,111961,69451,532,68919,832,202,453,730,21,19,3,3,5,3,9198,18,301,5,2,5,4993,13,7079,27447,422,12,21,8,18,20,5,27,8441,23,160,4,29,6,24,24,158,30,8127,28
18,באר מילכה,1278,113,93,0,93,13,1,3,0,0,1,0,0,0,0,11,0,2,0,0,0,12,0,2,11,15,0,0,0,0,1,0,1,17,0,0,0,0,0,0,0,3,0,0,0
18,באר שבע,9000,142264,87153,687,86466,1654,331,655,1210,154,273,3,5,5,4,13582,17,340,5,5,13,6467,24,7055,34723,853,45,43,8,27,40,10,291,10459,37,179,12,48,8,23,18,210,32,7556,42
17,בית ניר,16,488,366,1,365,46,0,0,0,0,3,0,0,0,0,4,0,2,0,0,0,36,0,7,13,98,0,0,0,0,0,0,2,150,0,0,0,0,0,0,0,3,0,1,0
6,גיתה,1206,222,145,1,144,19,1,0,1,0,1,0,0,0,0,8,0,0,0,0,0,10,0,15,30,8,0,0,0,0,0,0,0,43,1,1,0,1,0,0,0,2,2,1,0
5,דבוריה,489,6841,3829,16,3813,3,0,0,2,1320,1312,0,0,0,0,6,0,0,1,2,0,16,2,2,13,44,0,0,1,0,0,0,1064,6,1,0,4,3,0,3,2,2,1,2,1
3,דישון,2063,299,207,0,207,7,1,7,0,0,0,0,0,0,0,25,0,0,0,0,0,26,0,3,99,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,28,0
19,הוד השרון,9700,46243,34268,95,34173,2343,143,228,105,5,66,0,0,0,1,1638,9,111,0,1,1,5128,2,978,6506,1963,1,3,1,1,1,0,25,13789,16,52,0,16,2,2,4,207,1,811,13
2,הראל,464,236,127,0,127,30,1,1,0,0,3,0,0,0,0,1,0,0,0,0,0,12,0,0,6,27,0,0,0,0,0,0,0,45,0,1,0,0,0,0,0,0,0,0,0
12,חולדה,160,712,552,0,552,57,1,2,1,0,0,0,0,0,0,26,0,3,0,0,0,85,0,11,62,44,0,0,0,0,1,0,0,253,0,0,0,1,0,0,0,4,0,1,0
